Gender,Money,Recency,Frequency,Age,cat_Children,cat_Teen,cat_Cooking,cat_DIY,cat_Reference,cat_Art,Purchase_Secret_of_Italian_k,Purchase_Atlas_of_Italy,Purchase_Italian_Art,Buy
F,206,16,2,24,0,0,0,0,0,1,0,0,0,0
F,116,28,1,28,0,0,1,0,0,0,0,0,0,0
F,257,14,2,18,0,0,0,1,0,0,0,0,0,0
M,86,4,1,4,1,0,0,0,0,0,0,0,0,0
F,415,26,11,68,3,2,2,1,0,1,0,0,0,0
F,79,6,2,14,2,0,0,0,0,0,0,0,0,0
F,23,12,1,12,1,0,0,0,0,0,0,0,0,0
F,80,22,2,30,0,0,1,0,1,0,0,0,0,0
M,148,6,1,6,0,0,1,0,0,0,0,0,0,0
M,184,8,1,8,1,0,0,0,0,0,0,0,0,0
F,188,10,2,18,1,0,0,0,0,0,0,0,0,0
F,345,6,5,20,1,0,2,0,1,0,0,0,0,0
F,213,2,2,8,0,0,0,0,0,1,0,0,0,1
F,123,10,1,10,0,0,1,0,0,0,0,0,0,0
M,69,12,2,18,0,0,1,1,0,0,0,0,0,0
F,151,14,1,14,0,0,0,1,0,0,0,0,0,0
F,173,8,11,66,4,0,3,2,0,1,0,0,0,0
M,91,16,1,16,0,0,0,1,0,0,0,0,0,0
M,173,14,2,20,0,0,0,1,1,0,0,0,0,0
M,301,16,2,22,0,0,1,0,1,0,0,0,0,0
M,178,26,2,30,0,0,2,0,0,0,0,0,0,0
F,235,2,1,2,0,0,1,0,0,0,0,0,0,0
F,296,2,2,8,0,0,2,0,0,0,0,0,0,0
F,240,16,11,76,5,1,1,2,1,1,0,0,0,0
F,347,6,11,38,2,3,2,3,1,0,1,0,0,0
F,195,34,4,50,1,0,0,1,0,0,0,0,0,0
F,131,12,1,12,1,0,0,0,0,0,0,0,0,0
F,60,14,1,14,0,0,0,0,1,0,0,0,0,0
F,77,8,1,8,0,0,1,0,0,0,0,0,0,0
M,249,24,11,64,1,2,2,2,2,1,0,0,0,0
F,304,12,3,22,2,0,1,0,0,0,0,0,0,0
F,30,8,1,8,0,1,0,0,0,0,0,0,0,0
M,210,16,6,32,1,0,2,0,1,1,1,0,1,0
M,33,6,1,6,0,0,1,0,0,0,0,0,0,0
F,185,26,5,50,0,1,1,1,0,0,0,0,0,0
M,290,10,1,10,0,0,0,1,0,0,0,0,0,0
F,224,8,1,8,0,0,1,0,0,0,0,0,0,0
F,223,10,6,24,0,0,4,1,1,0,0,0,0,0
M,92,10,2,14,1,0,0,0,0,1,0,0,0,0
F,253,2,2,8,0,0,0,0,0,0,0,0,0,0
F,43,16,1,16,0,0,0,0,1,0,0,0,0,0
F,228,16,11,52,4,0,3,2,0,0,1,0,0,0
F,314,34,6,60,3,1,1,1,0,0,1,0,0,0
F,262,14,2,22,1,0,0,1,0,0,0,0,0,0
M,305,4,1,4,0,0,1,0,0,0,0,0,0,0
F,30,2,1,2,0,0,1,0,0,0,0,0,0,0
F,46,10,2,18,0,0,0,1,0,0,0,0,0,0
M,261,10,2,18,0,0,0,0,0,1,0,0,0,0
M,143,12,3,26,2,0,0,1,0,0,0,0,0,0
F,197,16,2,24,0,1,0,0,0,0,0,0,0,0
F,110,2,1,2,1,0,0,0,0,0,0,0,0,0
M,171,2,2,10,1,0,1,0,0,0,0,0,0,1
M,230,10,9,54,1,2,1,2,0,0,0,0,0,0
F,188,10,6,28,1,1,0,2,0,0,0,0,0,0
F,75,16,2,20,0,0,0,0,0,1,0,0,0,0
F,131,14,1,14,1,0,0,0,0,0,0,0,0,0
F,273,12,5,36,3,1,1,0,0,0,0,0,0,0
M,230,16,2,18,1,0,0,1,0,0,0,0,0,0
F,214,6,5,20,2,0,1,0,0,0,0,0,0,0
F,309,8,12,58,4,2,1,2,2,0,0,1,0,0
M,74,4,2,6,1,0,0,0,1,0,0,0,0,0
F,274,14,1,14,1,0,0,0,0,0,0,0,0,0
F,152,12,2,20,1,0,0,0,0,1,0,0,0,0
F,309,16,1,16,0,0,0,1,0,0,0,0,0,0
F,184,20,12,78,3,1,5,0,1,1,0,0,0,0
F,127,2,4,16,0,1,0,1,0,1,0,0,0,1
M,179,8,5,24,1,1,2,0,0,0,0,0,0,1
M,55,14,1,14,0,0,1,0,0,0,0,0,0,0
F,16,16,1,16,1,0,0,0,0,0,0,0,0,0
F,142,16,7,34,0,1,1,0,1,0,0,0,0,0
F,217,2,2,4,1,1,0,0,0,0,0,0,0,0
F,96,10,5,26,1,0,1,1,0,1,0,0,0,0
M,270,2,7,22,1,0,3,1,1,1,1,0,0,1
F,303,12,1,12,0,0,0,0,0,0,0,0,0,0
M,236,10,7,26,1,0,1,2,0,2,0,0,0,0
F,246,10,8,32,4,0,1,1,1,1,0,0,0,0
M,148,16,1,16,0,0,1,0,0,0,0,0,0,0
F,147,10,7,44,2,0,0,0,2,2,0,1,1,0
M,238,6,1,6,0,0,0,0,1,0,0,0,0,0
F,136,8,1,8,0,0,1,0,0,0,0,0,0,0
F,269,10,2,16,0,0,0,0,0,0,0,0,0,0
F,305,2,2,6,1,0,1,0,0,0,0,0,0,0
M,360,28,12,88,4,2,1,1,3,1,1,1,1,0
M,194,6,4,24,2,1,1,0,0,0,0,0,0,0
M,265,30,4,44,0,0,1,0,0,3,0,0,0,0
F,186,2,2,4,0,0,1,0,1,0,0,0,0,0
F,312,16,1,16,0,0,0,0,0,0,0,0,0,0
F,280,8,8,56,3,0,1,0,1,2,1,1,1,1
F,244,26,4,36,1,0,1,1,0,0,0,0,0,0
M,371,4,6,38,2,2,1,0,0,1,0,0,0,0
M,225,18,1,18,1,0,0,0,0,0,0,0,0,0
M,249,10,1,10,0,0,0,0,0,0,0,0,0,0
F,226,4,1,4,0,0,0,0,0,0,0,0,0,0
F,161,14,1,14,0,0,0,1,0,0,0,0,0,0
M,173,2,2,8,1,0,0,0,0,1,0,0,0,0
M,278,12,11,70,3,0,3,2,1,1,1,0,0,1
F,54,8,1,8,0,0,0,0,0,1,0,0,0,0
F,237,12,1,12,0,0,1,0,0,0,0,0,0,1
M,51,12,1,12,1,0,0,0,0,0,0,0,0,0
F,134,12,2,14,0,0,0,1,1,0,0,1,0,0
M,156,14,2,20,0,0,0,0,1,0,0,0,0,1
F,165,4,4,20,1,0,0,2,1,0,0,0,0,0
M,42,20,2,22,0,0,1,1,0,0,0,0,0,0
M,253,16,2,20,1,0,0,0,0,0,0,0,0,0
F,222,22,2,26,0,0,1,1,0,0,0,0,0,0
F,189,14,1,14,1,0,0,0,0,0,0,0,0,0
M,298,28,8,68,3,0,1,0,1,1,0,0,0,0
F,26,16,1,16,0,0,0,0,1,0,0,0,0,0
M,107,12,1,12,1,0,0,0,0,0,0,0,0,0
F,88,14,1,14,0,0,0,1,0,0,0,0,0,0
F,155,14,5,26,3,0,0,1,1,0,0,0,0,0
M,391,14,11,42,5,0,3,1,0,0,0,0,0,0
M,155,10,1,10,1,0,0,0,0,0,0,0,0,0
M,172,12,2,16,0,1,1,0,0,0,0,0,0,0
F,183,30,10,54,2,2,2,1,0,0,0,0,0,0
F,214,6,8,46,1,0,2,1,1,0,0,0,0,0
F,160,22,6,42,1,0,2,1,0,1,0,0,0,0
M,140,18,1,18,0,0,0,0,0,0,0,0,0,0
F,177,26,1,26,1,0,0,0,0,0,0,0,0,0
M,330,14,5,34,1,0,2,1,0,0,1,0,0,0
F,416,8,10,36,1,1,2,3,1,0,0,0,0,0
F,318,6,2,14,1,0,0,0,0,0,0,0,0,0
F,59,16,1,16,0,0,0,0,0,0,0,0,0,0
F,296,14,11,54,0,2,2,2,1,2,1,1,1,0
F,225,8,11,30,2,2,3,3,0,0,1,0,0,0
F,281,14,1,14,0,0,1,0,0,0,0,0,0,0
M,152,6,3,24,0,0,1,2,0,0,1,0,0,0
M,295,4,2,12,1,1,0,0,0,0,0,0,0,0
F,72,12,2,18,1,0,0,0,0,0,0,0,0,0
M,274,2,1,2,0,0,1,0,0,0,0,0,0,1
F,269,6,2,10,0,0,1,0,0,1,0,0,0,0
F,306,10,6,32,0,1,2,1,2,0,0,0,0,1
F,120,14,2,20,0,1,0,1,0,0,0,0,0,0
M,184,16,1,16,1,0,0,0,0,0,0,0,0,0
F,99,4,1,4,0,0,0,1,0,0,0,0,0,0
F,177,30,1,30,0,0,1,0,0,0,0,0,0,0
M,249,14,8,40,1,1,3,0,0,1,1,0,0,0
F,182,14,2,18,0,0,2,0,0,0,1,0,0,0
F,247,2,2,8,0,0,1,1,0,0,0,0,0,0
F,152,10,1,10,1,0,0,0,0,0,0,0,0,0
M,386,24,9,74,3,1,4,0,0,1,1,0,0,0
F,255,14,2,22,1,0,0,0,0,0,0,0,0,0
F,137,16,1,16,0,0,1,0,0,0,0,0,0,0
F,359,10,8,50,3,0,2,0,1,1,0,0,0,0
M,221,2,8,20,1,0,1,2,2,2,0,0,0,0
F,166,34,2,40,1,0,1,0,0,0,0,0,0,0
F,237,16,1,16,0,0,0,1,0,0,0,0,0,0
F,84,14,2,22,1,0,0,1,0,0,0,0,0,0
M,180,12,1,12,0,0,0,1,0,0,0,0,0,0
F,148,14,8,42,0,1,2,1,1,2,0,0,0,0
F,253,8,3,18,1,0,0,1,0,0,0,0,0,0
M,410,12,11,46,2,0,4,2,0,2,1,0,1,1
F,195,6,1,6,1,0,0,0,0,0,0,0,0,0
M,188,22,1,22,1,0,0,0,0,0,0,0,0,0
F,174,10,2,14,0,0,0,1,0,1,0,0,0,0
M,63,10,1,10,1,0,0,0,0,0,0,0,0,0
M,112,16,2,18,1,0,0,0,0,0,0,0,0,0
F,61,4,3,16,1,0,0,0,0,0,0,0,0,0
F,33,30,2,34,2,0,0,0,0,0,0,0,0,0
M,280,6,2,10,0,0,1,0,1,0,0,1,0,0
F,158,12,2,18,0,0,1,0,0,0,0,0,0,0
F,118,8,2,12,0,0,0,1,0,0,0,0,0,1
F,134,22,2,28,1,0,0,0,0,0,0,0,0,0
F,186,10,2,12,1,0,0,1,0,0,0,0,0,0
F,119,10,2,16,1,1,0,0,0,0,0,0,0,0
F,182,4,1,4,1,0,0,0,0,0,0,0,0,0
M,311,4,2,8,1,0,0,0,0,0,0,0,0,0
M,196,32,2,36,2,0,0,0,0,0,0,0,0,0
F,42,18,2,26,1,0,0,0,0,0,0,0,0,0
F,180,22,2,24,0,0,0,0,0,0,0,0,0,0
F,65,6,1,6,1,0,0,0,0,0,0,0,0,0
F,325,10,2,12,0,0,0,0,0,0,0,0,0,0
F,247,6,9,34,3,1,2,1,0,0,0,0,0,0
M,51,16,2,18,0,0,0,0,1,0,0,0,0,0
F,180,4,2,6,1,0,0,1,0,0,0,0,0,0
F,306,2,1,2,0,0,0,1,0,0,0,0,0,0
F,289,36,6,66,2,0,1,1,0,1,0,0,0,0
M,320,10,2,14,1,0,1,0,0,0,0,0,0,0
F,102,6,2,10,0,0,1,0,0,0,0,0,0,0
M,404,28,11,88,3,1,1,0,2,1,0,0,0,0
F,58,16,2,20,1,1,0,0,0,0,0,0,0,0
M,146,12,2,18,0,0,0,0,2,0,0,1,0,1
M,304,6,12,38,2,1,2,0,2,2,0,0,0,1
F,270,8,9,58,2,1,0,2,3,0,0,1,0,0
F,158,10,1,10,0,0,1,0,0,0,0,0,0,0
F,290,10,1,10,1,0,0,0,0,0,0,0,0,0
M,323,8,4,20,1,0,2,0,0,0,1,0,0,0
M,70,4,1,4,0,0,0,1,0,0,0,0,0,0
F,271,14,1,14,0,0,0,1,0,0,0,0,0,0
M,112,16,1,16,0,0,0,0,0,0,0,0,0,0
F,123,34,1,34,0,0,0,0,1,0,0,0,0,0
F,199,10,5,24,0,1,2,0,1,1,0,0,0,0
M,31,4,1,4,0,0,0,1,0,0,0,0,0,0
F,285,30,2,32,1,0,0,0,1,0,0,0,0,0
M,275,10,1,10,0,1,0,0,0,0,0,0,0,0
F,304,12,2,16,0,0,1,0,0,1,0,0,0,0
F,94,10,6,30,2,1,0,0,0,2,0,0,0,0
F,311,14,12,58,5,1,0,0,1,0,0,0,0,1
M,219,12,7,42,2,1,2,1,0,1,0,0,0,0
F,94,8,2,12,1,0,0,1,0,0,0,0,0,0
F,371,12,6,36,0,1,2,1,0,0,1,0,0,0
M,427,34,12,88,1,1,3,2,0,2,1,0,1,0
F,291,6,10,32,5,0,0,0,1,3,0,0,0,1
F,418,6,10,54,2,1,2,2,0,1,0,0,0,0
M,136,14,1,14,0,0,0,0,0,0,0,0,0,0
F,155,4,6,28,1,0,4,0,1,0,0,0,0,0
F,106,2,1,2,0,0,0,0,1,0,0,0,0,0
F,76,12,1,12,0,0,1,0,0,0,0,0,0,0
M,79,12,2,20,1,0,0,0,0,1,0,0,1,0
F,165,4,6,32,2,1,2,0,0,0,0,0,0,0
F,181,12,4,28,1,0,2,0,0,0,0,0,0,0
F,268,2,2,8,0,0,0,0,0,0,0,0,0,0
F,23,14,1,14,0,0,1,0,0,0,0,0,0,0
F,259,8,1,8,0,0,1,0,0,0,0,0,0,0
F,51,10,2,12,0,0,1,1,0,0,0,0,0,0
F,181,12,2,18,0,0,1,0,0,1,0,0,0,0
F,238,10,1,10,0,0,1,0,0,0,0,0,0,0
F,217,10,2,14,0,0,1,1,0,0,0,0,0,0
F,307,16,2,18,0,0,0,1,0,1,0,0,0,0
M,159,32,2,36,0,0,1,1,0,0,0,0,0,0
F,193,20,1,20,1,0,0,0,0,0,0,0,0,0
F,208,8,8,24,0,1,3,2,0,1,0,0,0,0
M,226,14,2,20,0,0,1,1,0,0,0,0,0,0
M,220,28,2,32,0,0,2,0,0,0,0,0,0,0
F,255,6,11,68,1,2,2,2,0,3,1,0,1,1
M,198,16,8,34,2,1,1,2,0,2,0,0,0,0
M,216,2,2,4,1,0,0,1,0,0,0,0,0,1
M,77,16,4,30,2,0,1,0,0,1,0,0,0,0
F,69,12,2,14,1,0,0,0,0,1,0,0,0,0
F,224,10,1,10,0,0,0,0,0,1,0,0,0,0
F,150,2,2,10,0,0,1,0,1,0,0,0,0,0
F,61,4,4,12,2,0,0,0,1,0,0,0,0,0
F,143,4,2,12,0,0,0,1,0,1,0,0,0,0
M,280,34,7,66,1,2,1,1,0,1,0,0,0,0
F,265,16,2,24,1,0,1,0,0,0,1,0,0,0
F,257,8,2,14,0,1,0,0,0,0,0,0,0,0
F,359,34,6,68,0,0,4,0,0,0,0,0,0,0
F,114,4,1,4,0,0,1,0,0,0,0,0,0,0
F,329,12,2,14,0,0,1,0,1,0,0,0,0,0
F,22,8,1,8,0,0,0,0,1,0,0,0,0,0
M,268,8,1,8,0,0,1,0,0,0,0,0,0,0
M,209,22,1,22,0,0,0,0,0,0,0,0,0,0
F,22,14,1,14,0,0,0,0,1,0,0,0,0,0
M,169,2,1,2,0,0,1,0,0,0,0,0,0,0
M,273,16,2,20,1,0,1,0,0,0,0,0,0,0
M,297,2,2,8,1,0,0,0,0,1,0,0,0,0
F,274,10,8,26,2,1,2,2,0,1,1,0,0,0
M,154,12,10,44,1,1,2,2,0,1,0,0,0,0
F,328,2,2,8,1,0,0,0,0,0,0,0,0,0
F,87,10,1,10,1,0,0,0,0,0,0,0,0,0
F,77,8,1,8,0,0,0,0,1,0,0,0,0,0
F,77,16,2,18,1,0,0,0,0,0,0,0,0,0
M,368,12,12,54,3,2,2,1,1,1,1,0,0,0
F,302,16,11,62,3,3,1,2,0,1,0,0,0,0
M,35,14,2,16,0,0,1,0,0,1,0,0,1,0
M,188,10,9,50,1,1,2,3,0,1,0,0,0,0
F,53,26,2,32,1,1,0,0,0,0,0,0,0,0
M,120,14,2,18,0,0,0,0,0,0,0,0,0,0
M,175,8,11,40,1,2,3,2,2,1,1,1,0,0
F,137,6,2,12,0,0,1,0,1,0,0,0,0,0
F,198,26,2,30,1,0,0,0,0,1,0,0,0,0
F,33,26,2,28,0,0,0,0,1,0,0,0,0,0
F,242,12,2,16,0,0,1,1,0,0,0,0,0,0
M,294,2,3,10,1,0,1,1,0,0,0,0,0,0
F,390,16,11,46,1,3,3,2,0,2,0,0,0,0
F,277,8,2,10,1,0,0,1,0,0,0,0,0,0
M,337,16,9,42,1,2,2,2,0,1,1,0,0,0
F,133,8,6,30,0,0,2,1,0,1,1,0,0,0
M,312,30,2,34,0,0,0,1,0,0,0,0,0,0
F,256,12,5,32,3,1,0,1,0,0,0,0,0,0
F,207,32,1,32,0,0,0,1,0,0,0,0,0,0
F,252,14,1,14,0,0,0,1,0,0,0,0,0,0
F,71,6,2,12,1,0,0,1,0,0,0,0,0,0
F,226,14,2,20,0,0,1,0,0,0,0,0,0,0
F,121,10,2,18,0,0,1,0,1,0,0,0,0,0
M,299,10,1,10,0,0,0,0,0,0,0,0,0,0
F,248,10,2,12,0,0,0,0,0,0,0,0,0,0
M,350,12,5,38,0,0,2,3,0,0,1,0,0,0
F,249,16,7,48,3,1,1,1,0,1,0,0,0,0
F,194,2,11,38,2,0,3,2,1,1,1,1,1,0
F,287,12,5,30,2,1,1,1,0,0,0,0,0,0
F,217,36,2,44,0,0,0,1,0,1,0,0,0,0
M,94,4,1,4,0,0,0,1,0,0,0,0,0,0
F,406,14,10,40,0,1,5,1,1,0,0,0,0,0
F,379,24,10,60,2,1,1,1,0,2,0,0,1,0
M,231,14,2,18,0,1,0,1,0,0,0,0,0,0
F,202,12,3,18,2,0,0,1,0,0,0,0,0,0
M,57,6,2,14,1,0,0,1,0,0,0,0,0,0
M,119,34,7,66,1,0,4,0,0,0,0,0,0,0
F,227,2,2,8,1,0,1,0,0,0,1,0,0,0
M,159,10,2,14,1,0,0,0,1,0,0,0,0,0
F,235,16,2,22,1,0,0,0,0,0,0,0,0,0
F,289,10,2,14,0,1,1,0,0,0,0,0,0,0
F,300,16,2,18,1,0,0,0,0,1,0,0,0,0
M,188,10,2,16,1,0,0,1,0,0,0,0,0,0
F,225,16,1,16,0,0,0,0,0,0,0,0,0,0
M,244,32,1,32,0,0,0,0,1,0,0,0,0,0
F,267,8,11,48,2,2,2,0,4,0,0,0,0,0
F,364,14,8,52,3,0,1,1,2,1,0,0,0,0
M,258,10,8,32,1,0,2,3,0,0,0,0,0,0
F,253,6,12,38,8,0,1,1,0,0,0,0,0,0
M,295,14,1,14,1,0,0,0,0,0,0,0,0,0
F,174,14,3,24,1,0,0,0,0,1,0,0,1,0
M,333,14,10,64,3,1,2,1,2,0,0,0,0,0
M,218,12,1,12,0,0,1,0,0,0,0,0,0,0
M,276,24,2,28,0,0,1,0,0,0,0,0,0,0
F,159,22,1,22,0,0,0,0,0,1,0,0,0,0
F,218,14,1,14,0,0,0,1,0,0,0,0,0,0
F,404,2,9,42,1,1,1,3,0,1,0,0,0,0
M,476,12,12,58,2,3,3,2,1,1,1,1,1,0
F,174,12,5,30,0,0,2,1,0,0,0,0,0,0
F,140,8,1,8,0,0,0,1,0,0,0,0,0,0
F,152,18,7,44,0,1,3,2,0,0,1,0,0,0
F,202,8,4,30,4,0,0,0,0,0,0,0,0,0
F,174,4,2,6,1,1,0,0,0,0,0,0,0,0
F,183,2,1,2,1,0,0,0,0,0,0,0,0,1
F,243,12,1,12,0,0,1,0,0,0,0,0,0,0
M,326,12,7,48,1,0,2,0,0,1,1,0,0,0
F,266,14,8,36,3,0,2,1,1,1,0,0,0,0
M,448,6,10,60,2,0,3,0,2,2,0,0,0,0
F,296,8,1,8,1,0,0,0,0,0,0,0,0,0
M,232,8,1,8,1,0,0,0,0,0,0,0,0,0
F,247,32,2,40,1,1,0,0,0,0,0,0,0,0
F,380,10,7,24,0,1,3,1,1,1,1,0,0,0
F,120,12,2,18,0,0,1,0,1,0,0,0,0,0
F,222,28,9,60,2,1,3,0,2,0,0,0,0,0
F,305,2,1,2,0,0,0,0,0,0,0,0,0,0
M,280,12,1,12,0,0,1,0,0,0,0,0,0,0
F,135,10,4,26,0,0,0,3,1,0,0,0,0,0
F,56,4,1,4,1,0,0,0,0,0,0,0,0,0
F,152,12,2,14,0,0,0,1,0,1,0,0,0,0
M,26,6,1,6,0,0,0,0,0,1,0,0,0,0
F,310,12,2,18,0,1,1,0,0,0,1,0,0,0
F,128,16,2,20,1,0,0,1,0,0,0,0,0,0
F,298,12,4,24,1,0,0,1,0,1,0,0,0,0
F,161,2,1,2,0,0,1,0,0,0,0,0,0,0
F,266,10,4,32,0,0,0,0,2,1,0,1,1,0
F,244,6,1,6,0,0,0,0,0,0,0,0,0,0
F,123,12,7,28,0,0,2,2,3,0,1,1,0,0
M,191,34,7,70,3,0,1,0,1,1,0,0,0,0
M,122,16,1,16,0,0,1,0,0,0,0,0,0,0
F,82,14,4,22,1,0,0,1,0,0,0,0,0,0
F,157,2,3,10,0,1,1,0,0,0,0,0,0,0
F,300,8,8,54,1,0,1,2,3,0,0,0,0,0
M,176,14,1,14,0,0,1,0,0,0,0,0,0,0
F,279,14,1,14,0,0,1,0,0,0,0,0,0,0
F,300,14,1,14,0,0,0,0,0,0,0,0,0,0
F,34,10,1,10,1,0,0,0,0,0,0,0,0,0
F,108,14,2,16,0,1,0,1,0,0,0,0,0,0
F,191,10,2,12,1,0,0,0,0,0,0,0,0,0
M,103,18,2,24,1,0,1,0,0,0,1,0,0,0
F,50,16,1,16,0,0,0,1,0,0,0,0,0,0
F,267,4,8,50,1,1,3,3,0,0,1,0,0,0
F,172,26,10,48,3,2,2,1,1,1,0,0,0,0
F,264,14,1,14,0,0,0,0,0,0,0,0,0,0
F,338,4,12,50,1,4,1,1,0,2,0,0,0,1
F,127,10,2,18,0,0,1,0,0,0,0,0,0,0
F,106,16,1,16,0,0,1,0,0,0,0,0,0,0
F,324,4,6,20,2,1,1,1,0,1,1,0,1,0
F,280,14,9,62,2,2,3,2,0,0,1,0,0,0
F,114,2,2,6,0,0,1,1,0,0,0,0,0,0
F,66,30,1,30,0,0,0,0,1,0,0,0,0,0
F,181,32,6,48,0,0,3,1,1,1,0,0,0,0
M,102,2,2,8,1,0,0,0,0,0,0,0,0,0
M,262,14,1,14,1,0,0,0,0,0,0,0,0,0
F,125,12,2,20,0,0,1,0,0,1,0,0,1,0
M,248,8,2,14,2,0,0,0,0,0,0,0,0,0
F,37,10,2,12,0,0,2,0,0,0,1,0,0,0
F,200,14,11,50,2,2,2,4,0,0,0,0,0,0
M,252,24,1,24,0,0,0,0,0,0,0,0,0,1
F,310,4,10,38,1,0,3,2,2,2,1,0,0,0
F,301,6,1,6,0,1,0,0,0,0,0,0,0,0
M,424,6,11,58,3,0,2,0,2,2,1,0,0,0
F,174,14,2,16,0,0,1,0,1,0,0,0,0,0
F,151,16,2,24,0,0,1,0,0,1,0,0,0,0
F,290,14,1,14,1,0,0,0,0,0,0,0,0,0
F,243,4,1,4,0,0,0,0,1,0,0,0,0,0
F,327,12,7,34,4,0,2,0,0,1,0,0,0,0
F,205,14,12,56,1,0,4,1,0,5,0,0,0,0
M,227,8,2,12,0,0,1,0,1,0,0,0,0,1
F,72,12,2,20,0,0,1,0,0,1,0,0,0,0
F,338,6,11,30,2,1,1,0,3,2,0,0,0,0
M,175,8,10,38,3,1,1,1,0,0,0,0,0,0
M,238,10,8,26,4,2,2,0,0,0,0,0,0,0
F,261,8,2,10,0,0,2,0,0,0,0,0,0,0
M,152,10,8,40,1,1,1,2,1,0,0,0,0,0
F,251,12,8,44,1,1,3,2,1,0,1,1,0,0
M,304,10,2,12,1,0,0,0,1,0,0,0,0,0
F,111,8,2,14,0,1,1,0,0,0,0,0,0,0
M,228,6,2,8,0,0,1,0,0,0,0,0,0,0
M,263,12,1,12,0,0,1,0,0,0,0,0,0,0
M,362,22,5,34,1,0,3,0,0,1,0,0,0,0
F,288,16,5,32,1,2,1,0,0,1,0,0,0,0
M,42,16,2,22,1,0,1,0,0,0,0,0,0,0
F,129,22,2,30,0,0,1,0,0,1,0,0,0,0
F,157,2,2,10,0,1,0,0,0,1,0,0,0,0
F,114,12,4,30,0,1,1,0,1,1,0,0,0,1
F,15,6,1,6,0,0,0,0,0,1,0,0,0,0
F,356,12,12,80,3,3,3,1,0,1,1,0,0,0
F,80,6,2,14,0,1,0,1,0,0,0,0,0,0
M,256,16,8,60,3,0,3,1,0,1,1,0,1,0
M,118,14,1,14,1,0,0,0,0,0,0,0,0,0
F,57,18,1,18,0,0,1,0,0,0,0,0,0,0
F,287,10,7,28,2,0,0,3,0,1,0,0,0,0
F,371,10,10,52,4,2,1,1,1,0,0,0,0,0
F,125,18,1,18,0,0,1,0,0,0,0,0,0,0
F,216,16,2,24,0,0,0,0,0,1,0,0,0,0
F,97,16,2,18,0,0,0,0,1,1,0,0,0,0
F,277,18,2,24,0,0,0,0,0,2,0,0,0,0
F,327,10,11,48,2,2,3,0,3,0,1,1,0,0
F,198,24,2,30,0,0,0,0,0,1,0,0,0,0
F,406,14,11,50,2,1,4,2,1,0,1,1,0,0
F,107,10,2,16,0,0,1,0,0,0,0,0,0,0
M,84,10,1,10,0,0,0,0,0,0,0,0,0,0
F,40,14,2,22,0,0,1,1,0,0,0,0,0,0
F,85,6,1,6,1,0,0,0,0,0,0,0,0,0
M,232,12,2,20,0,0,0,1,0,0,0,0,0,0
F,88,10,3,26,1,1,1,0,0,0,0,0,0,0
F,229,18,1,18,0,0,1,0,0,0,0,0,0,0
M,443,14,10,48,5,2,0,1,1,1,0,1,1,0
F,217,20,2,28,2,0,0,0,0,0,0,0,0,0
M,223,24,3,40,0,3,0,0,0,0,0,0,0,0
F,406,6,12,48,4,0,4,2,0,1,0,0,0,0
F,168,16,2,24,1,0,1,0,0,0,1,0,0,0
F,85,34,2,40,1,0,0,1,0,0,0,0,0,0
F,365,4,12,74,3,0,3,3,1,1,1,0,0,0
F,316,10,6,42,0,0,3,2,0,1,1,0,1,0
F,53,32,2,36,1,1,0,0,0,0,0,0,0,0
F,96,36,2,42,1,0,0,0,0,0,0,0,0,0
M,243,10,12,48,1,3,4,1,1,1,0,0,0,1
M,313,6,1,6,0,0,0,1,0,0,0,0,0,0
M,89,4,4,20,1,0,1,1,0,0,0,0,0,0
F,152,4,2,10,0,0,1,1,0,0,0,0,0,0
F,205,16,8,56,1,0,1,1,2,1,0,0,0,0
F,163,22,10,62,1,1,2,1,2,0,0,0,0,0
F,237,10,2,16,0,0,2,0,0,0,0,0,0,0
F,47,2,3,10,0,0,0,0,0,2,0,0,0,1
F,67,12,1,12,0,0,1,0,0,0,0,0,0,0
M,292,12,4,28,3,0,0,0,0,0,0,0,0,0
F,320,6,3,18,1,1,0,0,0,0,0,0,0,0
F,100,14,1,14,0,0,0,0,1,0,0,0,0,0
F,53,16,1,16,0,1,0,0,0,0,0,0,0,0
M,203,12,9,58,3,1,0,2,1,2,0,1,1,0
F,192,4,1,4,0,0,0,1,0,0,0,0,0,0
F,58,2,2,4,1,0,0,0,0,0,0,0,0,0
F,437,4,12,52,1,0,5,2,1,1,0,0,0,0
M,228,28,8,62,0,3,3,1,1,0,0,0,0,0
F,253,34,1,34,1,0,0,0,0,0,0,0,0,0
M,354,26,7,42,1,2,2,0,0,0,1,0,0,0
F,108,16,7,54,1,1,1,0,2,1,1,1,1,1
F,149,16,2,18,0,0,1,0,0,0,0,0,0,0
F,144,6,8,38,1,0,2,2,1,1,1,1,1,0
F,241,30,1,30,0,1,0,0,0,0,0,0,0,0
F,129,10,1,10,0,0,0,0,0,0,0,0,0,0
F,188,4,1,4,0,0,1,0,0,0,0,0,0,0
F,231,16,1,16,0,0,0,0,0,0,0,0,0,0
F,268,10,1,10,0,0,0,1,0,0,0,0,0,0
F,71,14,1,14,0,0,0,0,0,1,0,0,0,0
F,365,12,11,58,3,1,2,2,0,0,0,0,0,0
M,162,10,7,44,1,0,1,1,0,2,0,0,0,0
F,40,10,2,16,0,0,1,1,0,0,0,0,0,0
M,38,12,1,12,1,0,0,0,0,0,0,0,0,0
F,65,16,1,16,0,0,0,0,0,0,0,0,0,0
